"(52258.11, 95355.21)","(-31.708071, -53.555554)"
"(52302.08, 95390.02)","(-31.707757, -53.555092)"
"(52347.55, 95440.81)","(-31.707299, -53.554615)"
"(52383.97, 96024.27)","(-31.702037, -53.554262)"
"(52400.67, 95578.63)","(-31.706056, -53.554062)"
"(52412.84, 95960.4)","(-31.702613, -53.553954)"
"(52425.72, 95902.3)","(-31.703137, -53.553815)"
"(52428.91, 95670.11)","(-31.705231, -53.553769)"
"(52430.47, 116950.75)","(-31.513306, -53.554886)"
"(52439.55, 95768.8)","(-31.704341, -53.553662)"
"(52454.64, 99024.5)","(-31.674979, -53.553677)"
"(52515.91, 99083.15)","(-31.67445, -53.553034)"
"(52589.33, 99107.43)","(-31.674231, -53.552261)"
"(52606.35, 81873.53)","(-31.829656, -53.551154)"
"(52623.8, 81861.44)","(-31.829765, -53.550969)"
"(52651.86, 81795.24)","(-31.830362, -53.550669)"
"(52774.73, 81480.44)","(-31.833201, -53.549354)"
"(52816.19, 116587.85)","(-31.516579, -53.550806)"
"(52875.43, 116545.49)","(-31.516961, -53.55018)"
"(52909.96, 99055.1)","(-31.674703, -53.548877)"
"(52943.81, 116505.58)","(-31.517321, -53.549458)"
"(52950.92, 99072.51)","(-31.674546, -53.548446)"
"(52988.51, 81173.18)","(-31.835972, -53.547079)"
"(53013.95, 99142.14)","(-31.673918, -53.547785)"
"(53092.5, 80853.84)","(-31.838852, -53.545963)"
"(53109.39, 99261.23)","(-31.672844, -53.546785)"
"(53124.08, 80682.08)","(-31.840401, -53.54562)"
"(53153.63, 99345.5)","(-31.672084, -53.546323)"
"(53184.62, 99489.97)","(-31.670781, -53.546004)"
"(53186.39, 80558.77)","(-31.841513, -53.544955)"
"(53214.95, 99541.09)","(-31.67032, -53.545687)"
"(53301.48, 80429.37)","(-31.84268, -53.543732)"
"(53353.62, 99988.61)","(-31.666284, -53.544249)"
"(53397.9, 100096.94)","(-31.665307, -53.543788)"
"(53449.86, 100316.59)","(-31.663326, -53.543252)"
"(53459.88, 116232.15)","(-31.519787, -53.54401)"
"(53544.31, 116193.57)","(-31.520135, -53.543119)"
"(53612.97, 100570.29)","(-31.661038, -53.541546)"
"(53622.44, 116166.73)","(-31.520377, -53.542295)"
"(53648.82, 100607.21)","(-31.660705, -53.54117)"
"(53677.95, 100738.38)","(-31.659522, -53.54087)"
"(53678.78, 116151.32)","(-31.520516, -53.541701)"
"(53739.12, 116138.68)","(-31.52063, -53.541065)"
"(53739.31, 100884.19)","(-31.658207, -53.540231)"
"(53758.64, 80063.57)","(-31.845979, -53.538882)"
"(53791.48, 100940.85)","(-31.657696, -53.539684)"
"(53803.76, 116130.48)","(-31.520704, -53.540384)"
"(53872.21, 116124.82)","(-31.520755, -53.539663)"
"(53900.32, 101042.64)","(-31.656778, -53.538542)"
"(53911.2, 79700.31)","(-31.849255, -53.53725)"
"(53950.84, 101073.02)","(-31.656504, -53.538011)"
"(53957.6, 116125.26)","(-31.520751, -53.538764)"
"(53985.8, 79631.01)","(-31.84988, -53.536458)"
"(54004.9, 101090.21)","(-31.656349, -53.537442)"
"(54047.59, 116133.8)","(-31.520674, -53.537817)"
"(54055.82, 79034.78)","(-31.855257, -53.535685)"
"(54071.33, 78889.3)","(-31.856569, -53.535513)"
"(54087.52, 101129.68)","(-31.655993, -53.536573)"
"(54094.68, 78309.38)","(-31.861799, -53.535234)"
"(54106.62, 78275.0)","(-31.862109, -53.535106)"
"(54136.99, 78256.82)","(-31.862273, -53.534784)"
"(54201.84, 101190.44)","(-31.655445, -53.535371)"
"(54258.46, 101224.93)","(-31.655134, -53.534776)"
"(54284.51, 101238.57)","(-31.655011, -53.534502)"
"(54417.03, 101278.59)","(-31.65465, -53.533107)"
"(54461.85, 101287.69)","(-31.654568, -53.532635)"
"(54508.15, 101291.79)","(-31.654531, -53.532147)"
"(54600.26, 101293.23)","(-31.654518, -53.531176)"
"(54655.88, 78080.96)","(-31.863859, -53.529291)"
"(54681.67, 101300.88)","(-31.654449, -53.530318)"
"(54700.02, 101308.42)","(-31.654381, -53.530125)"
"(54714.33, 101323.61)","(-31.654244, -53.529975)"
"(54732.77, 101349.45)","(-31.654011, -53.529782)"
"(54760.11, 101408.77)","(-31.653476, -53.529497)"
"(54776.47, 101434.49)","(-31.653244, -53.529326)"
"(54836.32, 101489.16)","(-31.652751, -53.528698)"
"(54883.8, 101517.1)","(-31.652499, -53.528199)"
"(54900.65, 101529.19)","(-31.65239, -53.528022)"
"(54993.73, 101625.43)","(-31.651522, -53.527046)"
"(55014.64, 101632.97)","(-31.651454, -53.526826)"
"(55041.69, 101637.07)","(-31.651417, -53.526541)"
"(55067.09, 101632.97)","(-31.651454, -53.526273)"
"(55177.92, 101623.43)","(-31.65154, -53.525104)"
"(55220.69, 101622.88)","(-31.651545, -53.524653)"
"(55233.19, 77810.18)","(-31.866301, -53.523175)"
"(55263.4, 101627.98)","(-31.651499, -53.524203)"
"(55383.15, 101655.26)","(-31.651253, -53.522942)"
"(55401.63, 77791.99)","(-31.866465, -53.521394)"
"(55437.73, 101680.65)","(-31.651024, -53.522368)"
"(55475.52, 101706.48)","(-31.650791, -53.521971)"
"(55478.09, 116363.21)","(-31.518605, -53.522769)"
"(55487.82, 101718.13)","(-31.650686, -53.521842)"
"(55498.53, 101733.32)","(-31.650549, -53.52173)"
"(55503.28, 101753.05)","(-31.650371, -53.521681)"
"(55512.76, 101822.35)","(-31.649746, -53.521585)"
"(55533.64, 101914.5)","(-31.648915, -53.52137)"
"(55565.54, 116375.18)","(-31.518497, -53.521849)"
"(55567.71, 102006.64)","(-31.648084, -53.521016)"
"(55595.93, 103093.93)","(-31.638278, -53.52078)"
"(55600.18, 103054.57)","(-31.638633, -53.520733)"
"(55600.38, 103109.57)","(-31.638137, -53.520734)"
"(55605.85, 102096.78)","(-31.647271, -53.520619)"
"(55612.68, 103121.65)","(-31.638028, -53.520605)"
"(55621.7, 116380.4)","(-31.51845, -53.521258)"
"(55638.28, 102782.58)","(-31.641086, -53.520316)"
"(55646.97, 102740.78)","(-31.641463, -53.520222)"
"(55654.78, 102712.17)","(-31.641721, -53.520138)"
"(55712.33, 102599.18)","(-31.64274, -53.519525)"
"(55719.79, 103175.43)","(-31.637543, -53.519479)"
